bbl,tax_year,stmt_date,semantic_status,parse_status,market_value,assessed_value,taxable_value,estimated_property_tax,estimated_gross_income,estimated_expenses,net_operating_income,base_cap_rate_percent,overall_cap_rate_percent,market_value_source,assessed_value_source,taxable_value_source,estimated_property_tax_source,estimated_gross_income_source,estimated_expenses_source,net_operating_income_source,base_cap_rate_percent_source,overall_cap_rate_percent_source,source_pdf_path,parse_notes
3052190040,2022,20220115,valid_statement,partial,5925000,,2384430,291735.01,,,,,,parsed_direct,missing_in_document,parsed_direct,parsed_direct,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,data/raw/3052190040/20220115_NPV.pdf,Some financial fields extracted; others missing in doc or unmatched.
3052190040,2023,20230115,valid_statement,ok,6653000,,2556478,313603.16,2112000.0,1203840.0,908160.0,,13.65,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/3052190040/20230115_NPV.pdf,Core financial fields extracted.
3052190040,2024,20240115,valid_statement,ok,6665000,,2661167,332699.1,2125000.0,1210000.0,915000.0,,13.72933,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/3052190040/20240115_NPV.pdf,Core financial fields extracted.
3052190040,2025,20250115,valid_statement,ok,7284000,,2767443,345930.38,2134440.0,1125960.0,1008480.0,,13.845,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/3052190040/20250115_NPV.pdf,Core financial fields extracted.
3052190040,2026,20260116,valid_statement,ok,7149000,,2973900,369923.42,2353560.0,1380720.0,972840.0,,13.608,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/3052190040/20260116_NPV.pdf,Core financial fields extracted.
4050500020,2017,20170115,valid_statement,ok,,,,,1460011.0,773640.0,686371.0,,7.393,missing_in_document,missing_in_document,missing_in_document,missing_in_document,parsed_direct,parsed_direct,parsed_direct,missing_in_document,parsed_direct,data/raw/4050500020/20170115_NPV.pdf,Core financial fields extracted.
4050500020,2018,20180115,valid_statement,ok,,,,,1588951.0,751626.0,837325.0,,7.09,missing_in_document,missing_in_document,missing_in_document,missing_in_document,parsed_direct,parsed_direct,parsed_direct,missing_in_document,parsed_direct,data/raw/4050500020/20180115_NPV.pdf,Core financial fields extracted.
4050500020,2019,20190115,valid_statement,ok,,,2409177,303845.4,1595240.0,742978.0,852262.0,,7.43,missing_in_document,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20190115_NPV.pdf,Core financial fields extracted.
4050500020,2020,20200115,valid_statement,ok,6449000,,2553388,318484.09,1633765.0,796441.0,837324.0,,12.983,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20200115_NPV.pdf,Core financial fields extracted.
4050500020,2021,20210115,valid_statement,ok,5465000,,2373828,291197.48,1521509.0,808826.0,712683.0,,13.04,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20210115_NPV.pdf,Core financial fields extracted.
4050500020,2022,20220115,valid_statement,ok,5500000,,2348964,287395.75,1402616.0,680080.0,722536.0,,13.136,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20220115_NPV.pdf,Core financial fields extracted.
4050500020,2023,20230115,valid_statement,ok,5828000,,2518398,308931.88,1461976.0,692660.0,769316.0,,13.2,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20230115_NPV.pdf,Core financial fields extracted.
4050500020,2024,20240115,valid_statement,ok,5960000,,2519633,315004.52,1445072.0,650282.0,794790.0,,13.336,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20240115_NPV.pdf,Core financial fields extracted.
4050500020,2025,20250115,valid_statement,ok,6019000,,2461222,307652.75,1511901.0,709233.0,802668.0,,13.335,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20250115_NPV.pdf,Core financial fields extracted.
4050500020,2026,20260116,valid_statement,ok,5555000,,2389213,297194.21,1611751.0,875849.0,735902.0,,13.248,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/4050500020/20260116_NPV.pdf,Core financial fields extracted.
1012530025,2020,20200115,no_data_found,no_data_found,,,,,,,,,,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,data/raw/1012530025/20200115_NPV.pdf,No data statement.
